@relation 500data

@attribute Nirogen numeric
@attribute Phosphorus numeric
@attribute Potassium numeric
@attribute Sulfur numeric
@attribute Zinc numeric
@attribute Boron numeric
@attribute Malibedenam numeric
@attribute Magnesium numeric
@attribute '\'Organic Matter(Ton/Hectare)\'' numeric
@attribute Crops {Coconut,Asparagus_Bean,Ladies_finger,Pointed_Gourd,Panikchu,Red_Amaranth,Chilli,Jackfruit,Mango,Khesari,Beacon,Mugs,Eggplant,Sobean,Chinese_Almond,Cotton,China,Cowan,Corn,Jute,Wheat,Sunflower,Turmeric,Cauliflower,Soybean,Aus,Gram,Mustard,Sweet_Pumpkin,Tomato,Cabbage,Sweet_Potato,Ground_Nut,Rice_Pumpkin,Amaranth,Pineapple,Cucumber,Bean,Sesame,Bitter_Gourd,Banana,Ginger,Kang_Kong,Sugercane,Basella_Alba,Knitted_Aus,Transplant_Aman,Onion,Lustrous,Potatoes,Boro}

@data
50,15,100,5,0,0.25,0,0,0,Coconut
3,5,6,2,0,0,0,0,0,Asparagus_Bean
15,5,10,3,0,0,0,0,0,Ladies_finger
46,10,19,2,0.5,0,0,0,4,Pointed_Gourd
16,5,14,3,0,0,0,0,0,Panikchu
41,10,16,2.3,0,0,0,0,2,Red_Amaranth
17,11,17,3,0,0,0,0,0,Chilli
0.3,0.2,0.3,0,0,0,0,0,12,Jackfruit
0.2,0.2,0.17,0,0,0,0,0,10,Mango
3,3,3,2,0,0,0,0,0,Khesari
49,14,41,10,0,0,0,0,2,Beacon
3,5,6,3,0,0,0,0,0,Mugs
20,6,15,3,0,0,0,0,0,Eggplant
10,16,19,10,0,2,0.1,0,0,Mugs
0.3,0.2,0.3,0,0,0,0,0,12,Jackfruit
13,16,31,8,0.5,0.2,0.15,0,0,Sobean
8,6,13,5,0,0,0,0,0,Chinese_Almond
15,3,6,0,0,0,0,0,2,Pointed_Gourd
56,17,50,16,0.65,0,0,0,0,Cotton
8,3,4,1,0,0,0,0,0,China
31,11,19,5,0,0,0,0,0,Cowan
23,8,13,3.5,0,0,0,0,0,China
60,17,43,16,0.7,0.3,0,0,0,Corn
10,3,9,2,0,0,0,0,0,Jute
23,8,19,3.8,0,0,0,0,0,Wheat
23,8,13,3.5,0,0,0,0,0,China
10,3,9,2,0,0,0,0,0,Jute
18,4,14,4,0,0,0,0,0,Jute
8,3,4,1,0,0,0,0,0,China
19,6,17,3,0,0,0,0,0,Cotton
10,4,6,2,0,0,0,0,0,Cowan
50,16,28,16,0.7,0.15,0,0,0,Sunflower
20,6,18,3,0,0,0,0,0,Turmeric
